"name","file","line_start","line_end","n_lines","class","rationale"
".import_python_module","base_modules.R",1,7,7,"THIN_WRAPPER","Reticulate pass-through"
"import_python_modules","base_modules.R",22,40,19,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
"import_nltk","base_modules.R",56,66,11,"THIN_WRAPPER","Reticulate pass-through"
"import_nltk_corpus","base_modules.R",81,91,11,"THIN_WRAPPER","Reticulate pass-through"
"import_sklearn","base_modules.R",110,120,11,"THIN_WRAPPER","Reticulate pass-through"
"sklearn_vectorizer","base_modules.R",151,205,55,"THIN_WRAPPER","Mid-size (55L, 3 constructs)"
"import_umap","base_modules.R",222,232,11,"STATIC","No clear logic signals (11L, 4)"
"import_hdbscan","base_modules.R",251,261,11,"THIN_WRAPPER","Reticulate pass-through"
"import_gensim","base_modules.R",285,295,11,"THIN_WRAPPER","Reticulate pass-through"
"import_spacy","base_modules.R",312,322,11,"THIN_WRAPPER","Reticulate pass-through"
"import_use","base_modules.R",340,350,11,"THIN_WRAPPER","Reticulate pass-through"
"import_openai","base_modules.R",365,375,11,"THIN_WRAPPER","Reticulate pass-through"
"import_llama_cpp","base_modules.R",389,399,11,"THIN_WRAPPER","Reticulate pass-through"
"list_to_tuple","bert-analysis.R",13,16,4,"STATIC","Short, no logic"
"tbl_unite_features","bert-analysis.R",32,66,35,"THIN_WRAPPER","Mid-size (35L, 5 constructs)"
"bert_similar_terms_topics","bert-analysis.R",82,122,41,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
"bert_embeddings","bert-analysis.R",137,173,37,"REAL_LOGIC","Tibble munging + logic (4 constructs)"
"extract_bert_umap","bert-analysis.R",185,213,29,"REAL_LOGIC","Tibble munging + logic (17 constructs)"
"tbl_bert_umap_label_level","bert-analysis.R",233,275,43,"THIN_WRAPPER","Mid-size (43L, 9 constructs)"
"tbl_bert_label_cosine_similarity","bert-analysis.R",288,399,112,"REAL_LOGIC","Tibble munging + logic (20 constructs)"
"extract_document_word_counts","bert-analysis.R",419,443,25,"REAL_LOGIC","Tibble munging + logic (6 constructs)"
"write_bert_viz","bert-analysis.R",464,489,26,"STATIC","No clear logic signals (26L, 3)"
"tbl_array","bert-analysis.R",508,523,16,"STATIC","No clear logic signals (16L, 1)"
"bert_topics_over_time","bert-analysis.R",548,583,36,"THIN_WRAPPER","Mid-size (36L, 4 constructs)"
"tbl_bert_topics_over_time","bert-analysis.R",608,630,23,"STATIC","<30L, no logic, no network"
"munge_bert_topics_over_time","bert-analysis.R",646,661,16,"STATIC","No clear logic signals (16L, 2)"
"munge_bert_topics_per_class","bert-analysis.R",681,702,22,"STATIC","No clear logic signals (22L, 2)"
"bert_approximate_distribution","bert-analysis.R",729,755,27,"STATIC","<30L, no logic, no network"
"munge_bert_document_approximate_distributions","bert-analysis.R",774,824,51,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
"bert_document_info","bert-documents.R",14,86,73,"REAL_LOGIC","Tibble munging + logic (9 constructs)"
"bert_transform_documents","bert-documents.R",105,119,15,"STATIC","<30L, no logic, no network"
"tbl_bert_transform_documents","bert-documents.R",132,158,27,"STATIC","No clear logic signals (27L, 2)"
"bert_topic_per_class","bert-documents.R",171,207,37,"THIN_WRAPPER","Mid-size (37L, 2 constructs)"
"tbl_bert_topic_per_class","bert-documents.R",221,283,63,"THIN_WRAPPER","Mid-size (63L, 6 constructs)"
"extract_bert_topics","bert-documents.R",299,368,70,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
"tbl_bert_text_features","bert-documents.R",380,407,28,"STATIC","No clear logic signals (28L, 3)"
"bert_load","bert-io.R",17,45,29,"STATIC","No clear logic signals (29L, 3)"
"bert_save","bert-io.R",60,93,34,"THIN_WRAPPER","Mid-size (34L, 2 constructs)"
"dictionary_nltk_stopwords","bert-io.R",108,114,7,"STATIC","Short, no logic"
"stopwords_sources","bert-io.R",124,138,15,"STATIC","No clear logic signals (15L, 1)"
"bert_stopwords","bert-io.R",151,174,24,"STATIC","No clear logic signals (24L, 3)"
"select_correct_python","bert-io.R",187,193,7,"THIN_WRAPPER","Reticulate pass-through"
"bert_topic_info","bert-topic-info.R",17,178,162,"REAL_LOGIC","Tibble munging + logic (27 constructs)"
"bert_topic_labels","bert-topic-info.R",195,267,73,"REAL_LOGIC","Tibble munging + logic (14 constructs)"
"bert_topic_count","bert-topic-info.R",285,369,85,"REAL_LOGIC","Tibble munging + logic (20 constructs)"
"bert_representative_documents","bert-topic-info.R",384,435,52,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
"bert_topic_hierarchy","bert-topic-info.R",456,485,30,"THIN_WRAPPER","Mid-size (30L, 2 constructs)"
"print_bert_topic_tree","bert-topic-info.R",498,509,12,"STATIC","<30L, no logic, no network"
"bert_topic_tree_text","bert-topic-info.R",522,535,14,"STATIC","<30L, no logic, no network"
"bert_topic_keywords","bert-topic-info.R",549,617,69,"REAL_LOGIC","Tibble munging + logic (9 constructs)"
"bert_merge_topics","bert-topic-modify.R",13,28,16,"STATIC","No clear logic signals (16L, 2)"
"bert_reduce_outliers","bert-topic-modify.R",48,123,76,"REAL_LOGIC","Tibble munging + logic (7 constructs)"
"bert_reduce_topics","bert-topic-modify.R",143,180,38,"THIN_WRAPPER","Mid-size (38L, 3 constructs)"
"bert_update_topics","bert-topic-modify.R",215,346,132,"REAL_LOGIC","Long fn with logic (132L, 8 constructs)"
"bert_set_topic_labels","bert-topic-modify.R",357,360,4,"STATIC","Short, no logic"
"bert_base_stop_words","bertopic.R",12,334,323,"REAL_LOGIC","Long fn with logic (323L, 2 constructs)"
"bert_stop_words","bertopic.R",344,356,13,"STATIC","No clear logic signals (13L, 1)"
"import_bertopic","bertopic.R",377,395,19,"THIN_WRAPPER","Reticulate pass-through"
"import_numba","bertopic.R",406,416,11,"THIN_WRAPPER","Reticulate pass-through"
"set_bert_attributes","bertopic.R",429,475,47,"THIN_WRAPPER","Mid-size (47L, 5 constructs)"
"bert_topic","bertopic.R",535,709,175,"REAL_LOGIC","Long fn with logic (175L, 14 constructs)"
"bert_backend","bertopic.R",718,723,6,"STATIC","Short, no logic"
"bert_plotting","bertopic.R",736,741,6,"STATIC","Short, no logic"
"tbl_bert_parameter_features_to_attribute","bertopic.R",757,770,14,"STATIC","No clear logic signals (14L, 1)"
"bert_parameters","bertopic.R",784,849,66,"REAL_LOGIC","Tibble munging + logic (11 constructs)"
"tbl_bert_attributes","bertopic.R",862,934,73,"REAL_LOGIC","Tibble munging + logic (16 constructs)"
"bert_transform","bertopic.R",949,954,6,"STATIC","Short, no logic"
"bert_partial_fit","bertopic.R",967,977,11,"STATIC","<30L, no logic, no network"
"bert_fit","bertopic.R",993,1008,16,"STATIC","<30L, no logic, no network"
"bert_fit_transform","bertopic.R",1023,1039,17,"STATIC","No clear logic signals (17L, 1)"
"tbl_bert_fit_transform","bertopic.R",1056,1103,48,"THIN_WRAPPER","Mid-size (48L, 5 constructs)"
"class_tfidf_transformer","bertopic.R",1122,1137,16,"THIN_WRAPPER","Thin reticulate wrapper"
"online_count_vectorizer","bertopic.R",1158,1179,22,"THIN_WRAPPER","Reticulate pass-through"
"ctfidf","bertopic.R",1197,1213,17,"THIN_WRAPPER","Reticulate pass-through"
"base_clusterer","bertopic.R",1222,1227,6,"STATIC","Short, no logic"
"base_embedder","bertopic.R",1239,1249,11,"THIN_WRAPPER","Thin reticulate wrapper"
"word_doc_embedder","bertopic.R",1257,1263,7,"STATIC","Short, no logic"
"bert_merge_models","bertopic.R",1280,1299,20,"STATIC","No clear logic signals (20L, 2)"
"import_flair","embeddings.R",18,28,11,"THIN_WRAPPER","Reticulate pass-through"
"flair_embeddings","embeddings.R",39,43,5,"STATIC","Short, no logic"
"roberta_embeddings","embeddings.R",57,64,8,"THIN_WRAPPER","Reticulate pass-through"
"import_sentence_transformers","embeddings.R",83,93,11,"THIN_WRAPPER","Reticulate pass-through"
"sentence_transformer","embeddings.R",108,114,7,"THIN_WRAPPER","Reticulate pass-through"
"import_transformers","embeddings.R",131,141,11,"THIN_WRAPPER","Reticulate pass-through"
"distilbert_embedding_transformer","embeddings.R",155,161,7,"THIN_WRAPPER","Reticulate pass-through"
"hugging_face_transformers","embeddings.R",178,184,7,"THIN_WRAPPER","Reticulate pass-through"
"bert_embed_words","embeddings.R",204,218,15,"STATIC","No clear logic signals (15L, 2)"
"bert_embed_documents","embeddings.R",234,248,15,"STATIC","No clear logic signals (15L, 2)"
"import_keybert","keybert.R",27,41,15,"THIN_WRAPPER","Reticulate pass-through"
".extract_document_keywords","keybert.R",44,80,37,"THIN_WRAPPER","Reticulate pass-through"
"keybert_model","keybert.R",97,106,10,"THIN_WRAPPER","Reticulate pass-through"
"keybert_keywords","keybert.R",158,418,261,"REAL_LOGIC","Tibble munging + logic (28 constructs)"
"keybert_embeddings","keybert.R",444,534,91,"REAL_LOGIC","Long fn with logic (91L, 8 constructs)"
".tbl_keybert_keywords","keybert.R",539,685,147,"REAL_LOGIC","Tibble munging + logic (19 constructs)"
"tbl_keybert_keywords","keybert.R",734,915,182,"REAL_LOGIC","Long fn with logic (182L, 10 constructs)"
"tbl_keybert_data","keybert.R",931,949,19,"STATIC","No clear logic signals (19L, 1)"
"gather_keybert_keywords","keybert.R",962,1006,45,"REAL_LOGIC","Tibble munging + logic (9 constructs)"
"import_keyphrase","keyphrase.R",10,20,11,"THIN_WRAPPER","Reticulate pass-through"
"keyphrase_vectorizer","keyphrase.R",52,104,53,"THIN_WRAPPER","Mid-size (53L, 2 constructs)"
"keyphrase_tf_idf","keyphrase.R",135,189,55,"THIN_WRAPPER","Mid-size (55L, 2 constructs)"
"keyphrase_tf_idf_to_tibble","keyphrase.R",205,226,22,"REAL_LOGIC","Tibble munging + logic (3 constructs)"
".pad_zeros","other_utils.R",4,19,16,"STATIC","No clear logic signals (16L, 2)"
".pz","other_utils.R",22,27,6,"STATIC","No clear logic signals (6L, 1)"
".bf","other_utils.R",30,76,47,"THIN_WRAPPER","Mid-size (47L, 7 constructs)"
