"name","file","line_start","line_end","n_lines"
".import_python_module","base_modules.R",1,7,7
"import_python_modules","base_modules.R",22,40,19
"import_nltk","base_modules.R",56,66,11
"import_nltk_corpus","base_modules.R",81,91,11
"import_sklearn","base_modules.R",110,120,11
"sklearn_vectorizer","base_modules.R",151,205,55
"import_umap","base_modules.R",222,232,11
"import_hdbscan","base_modules.R",251,261,11
"import_gensim","base_modules.R",285,295,11
"import_spacy","base_modules.R",312,322,11
"import_use","base_modules.R",340,350,11
"import_openai","base_modules.R",365,375,11
"import_llama_cpp","base_modules.R",389,399,11
"list_to_tuple","bert-analysis.R",13,16,4
"tbl_unite_features","bert-analysis.R",32,66,35
"bert_similar_terms_topics","bert-analysis.R",82,122,41
"bert_embeddings","bert-analysis.R",137,173,37
"extract_bert_umap","bert-analysis.R",185,213,29
"tbl_bert_umap_label_level","bert-analysis.R",233,275,43
"tbl_bert_label_cosine_similarity","bert-analysis.R",288,399,112
"extract_document_word_counts","bert-analysis.R",419,443,25
"write_bert_viz","bert-analysis.R",464,489,26
"tbl_array","bert-analysis.R",508,523,16
"bert_topics_over_time","bert-analysis.R",548,583,36
"tbl_bert_topics_over_time","bert-analysis.R",608,630,23
"munge_bert_topics_over_time","bert-analysis.R",646,661,16
"munge_bert_topics_per_class","bert-analysis.R",681,702,22
"bert_approximate_distribution","bert-analysis.R",729,755,27
"munge_bert_document_approximate_distributions","bert-analysis.R",774,824,51
"bert_document_info","bert-documents.R",14,86,73
"bert_transform_documents","bert-documents.R",105,119,15
"tbl_bert_transform_documents","bert-documents.R",132,158,27
"bert_topic_per_class","bert-documents.R",171,207,37
"tbl_bert_topic_per_class","bert-documents.R",221,283,63
"extract_bert_topics","bert-documents.R",299,368,70
"tbl_bert_text_features","bert-documents.R",380,407,28
"bert_load","bert-io.R",17,45,29
"bert_save","bert-io.R",60,93,34
"dictionary_nltk_stopwords","bert-io.R",108,114,7
"stopwords_sources","bert-io.R",124,138,15
"bert_stopwords","bert-io.R",151,174,24
"select_correct_python","bert-io.R",187,193,7
"bert_topic_info","bert-topic-info.R",17,178,162
"bert_topic_labels","bert-topic-info.R",195,267,73
"bert_topic_count","bert-topic-info.R",285,369,85
"bert_representative_documents","bert-topic-info.R",384,435,52
"bert_topic_hierarchy","bert-topic-info.R",456,485,30
"print_bert_topic_tree","bert-topic-info.R",498,509,12
"bert_topic_tree_text","bert-topic-info.R",522,535,14
"bert_topic_keywords","bert-topic-info.R",549,617,69
"bert_merge_topics","bert-topic-modify.R",13,28,16
"bert_reduce_outliers","bert-topic-modify.R",48,123,76
"bert_reduce_topics","bert-topic-modify.R",143,180,38
"bert_update_topics","bert-topic-modify.R",215,346,132
"bert_set_topic_labels","bert-topic-modify.R",357,360,4
"bert_base_stop_words","bertopic.R",12,334,323
"bert_stop_words","bertopic.R",344,356,13
"import_bertopic","bertopic.R",377,395,19
"import_numba","bertopic.R",406,416,11
"set_bert_attributes","bertopic.R",429,475,47
"bert_topic","bertopic.R",535,709,175
"bert_backend","bertopic.R",718,723,6
"bert_plotting","bertopic.R",736,741,6
"tbl_bert_parameter_features_to_attribute","bertopic.R",757,770,14
"bert_parameters","bertopic.R",784,849,66
"tbl_bert_attributes","bertopic.R",862,934,73
"bert_transform","bertopic.R",949,954,6
"bert_partial_fit","bertopic.R",967,977,11
"bert_fit","bertopic.R",993,1008,16
"bert_fit_transform","bertopic.R",1023,1039,17
"tbl_bert_fit_transform","bertopic.R",1056,1103,48
"class_tfidf_transformer","bertopic.R",1122,1137,16
"online_count_vectorizer","bertopic.R",1158,1179,22
"ctfidf","bertopic.R",1197,1213,17
"base_clusterer","bertopic.R",1222,1227,6
"base_embedder","bertopic.R",1239,1249,11
"word_doc_embedder","bertopic.R",1257,1263,7
"bert_merge_models","bertopic.R",1280,1299,20
"import_flair","embeddings.R",18,28,11
"flair_embeddings","embeddings.R",39,43,5
"roberta_embeddings","embeddings.R",57,64,8
"import_sentence_transformers","embeddings.R",83,93,11
"sentence_transformer","embeddings.R",108,114,7
"import_transformers","embeddings.R",131,141,11
"distilbert_embedding_transformer","embeddings.R",155,161,7
"hugging_face_transformers","embeddings.R",178,184,7
"bert_embed_words","embeddings.R",204,218,15
"bert_embed_documents","embeddings.R",234,248,15
"import_keybert","keybert.R",27,41,15
".extract_document_keywords","keybert.R",44,80,37
"keybert_model","keybert.R",97,106,10
"keybert_keywords","keybert.R",158,418,261
"keybert_embeddings","keybert.R",444,534,91
".tbl_keybert_keywords","keybert.R",539,685,147
"tbl_keybert_keywords","keybert.R",734,915,182
"tbl_keybert_data","keybert.R",931,949,19
"gather_keybert_keywords","keybert.R",962,1006,45
"import_keyphrase","keyphrase.R",10,20,11
"keyphrase_vectorizer","keyphrase.R",52,104,53
"keyphrase_tf_idf","keyphrase.R",135,189,55
"keyphrase_tf_idf_to_tibble","keyphrase.R",205,226,22
".pad_zeros","other_utils.R",4,19,16
".pz","other_utils.R",22,27,6
".bf","other_utils.R",30,76,47
"import_polyfuzz","polyfuzz.R",20,30,11
"import_rapidfuzz","polyfuzz.R",43,53,11
"import_fuzz","polyfuzz.R",61,65,5
"import_jellyfish","polyfuzz.R",78,88,11
"polyfuzz_save","polyfuzz.R",100,127,28
"polyfuzz_model","polyfuzz.R",146,169,24
"polyfuzz_match","polyfuzz.R",187,230,44
"polyfuzz_tfidf","polyfuzz.R",246,262,17
"polyfuzz_edit_distance","polyfuzz.R",275,292,18
"polyfuzz_rapidmatcher","polyfuzz.R",307,325,19
"polyfuzz_embeddings","polyfuzz.R",339,355,17
"polyfuzz_sentence_embeddings","polyfuzz.R",370,386,17
"polyfuzz_gensim_embeddings","polyfuzz.R",400,416,17
"polyfuzz_spacy_embeddings","polyfuzz.R",430,446,17
"polyfuzz_use_embeddings","polyfuzz.R",460,476,17
"polyfuzz_transform","polyfuzz.R",490,497,8
"polyfuzz_fit","polyfuzz.R",509,518,10
"tbl_polyfuzz_matches","polyfuzz.R",529,532,4
"spacy_matching_pattern_dict_to_list","representation_models.R",20,22,3
"bertopic_representations","representation_models.R",56,66,11
"keybert_inspired_representation","representation_models.R",85,109,25
"llama_cpp_representation","representation_models.R",130,180,51
"mmr_inspired_representation","representation_models.R",197,212,16
"cohere_representation","representation_models.R",229,250,22
"open_ai_representation","representation_models.R",276,317,42
"part_of_speech_representation","representation_models.R",342,371,30
"zeroshot_representation","representation_models.R",388,406,19
"transformer_representation","representation_models.R",424,447,24
"langchain_representation","representation_models.R",467,499,33
"import_top2vec","top2vec.R",13,23,11
"top2vec_model","top2vec.R",85,160,76
"top2vec_topic_size","top2vec.R",176,182,7
".parse_top2vec_topic","top2vec.R",184,190,7
"top2vec_topic_embeddings","top2vec.R",202,209,8
"tbl_top_2_vec_words_topics","top2vec.R",220,234,15
"top2vec_document_topics","top2vec.R",244,251,8
".top2vec_similar_word","top2vec.R",257,284,28
"top2vec_similar_words","top2vec.R",299,318,20
".dict_doc_names","utils-internal.R",6,36,31
".resolve_document_info_names","utils-internal.R",38,52,15
".munge_aspect_column","utils-internal.R",56,229,174
".munge_respresentation","utils-internal.R",231,284,54
".bert_similar_term_topics","utils-internal.R",288,319,32
"import_yake","yake.R",15,25,11
".ke_doc_extractor","yake.R",27,44,18
"yake_keyword_extractor","yake.R",72,119,48
